metric_id,name,category,unit,parent_id,description
revenue_total,영업수익(매출),손익,억원,,연결 기준 총 영업수익
revenue_wireless,무선 매출,손익,억원,revenue_total,무선(이동통신) 서비스 매출
revenue_wireline,유선 매출,손익,억원,revenue_total,유선(전화·초고속인터넷) 매출
revenue_media,미디어 매출,손익,억원,revenue_total,IPTV 등 미디어 매출
revenue_b2b,기업서비스 매출,손익,억원,revenue_total,AI/DX·기업회선 등 B2B 매출
revenue_finance,금융 매출,손익,억원,revenue_total,BC카드 등 금융 부문 매출
opex_total,영업비용,손익,억원,,총 영업비용
opex_labor,인건비,손익,억원,opex_total,급여·퇴직급여 등 인건비
opex_depreciation,감가상각비,손익,억원,opex_total,유무형자산 감가상각비
opex_marketing,마케팅비용,손익,억원,opex_total,광고선전비·판매수수료 등
operating_profit,영업이익,손익,억원,,
net_profit,당기순이익,손익,억원,,
capex_total,CAPEX,투자,억원,,설비투자 집행액
arpu_wireless,무선 ARPU,영업지표,원,,가입자당 월평균 매출
subs_wireless,무선 가입자,영업지표,천명,,이동통신 총 가입자
subs_5g,5G 가입자,영업지표,천명,subs_wireless,
subs_broadband,초고속인터넷 가입자,영업지표,천명,,
subs_iptv,IPTV 가입자,영업지표,천명,,
employees,직원 수,인력,명,,기간말 임직원 수
revenue_service,서비스 매출,손익,억원,revenue_total,단말 판매를 뺀 서비스 매출
revenue_goods,상품(단말) 매출,손익,억원,revenue_total,단말기 등 상품 판매 매출
ebitda,EBITDA,손익,억원,,영업이익 + 감가상각비
net_profit_controlling,지배주주 순이익,손익,억원,net_profit,연결 기준 지배주주 귀속분
capex_access,가입자망 CAPEX,투자,억원,capex_total,
capex_backbone,기간망 CAPEX,투자,억원,capex_total,
capex_b2b,B2B CAPEX,투자,억원,capex_total,
assets_total,자산총계,재무상태,억원,,
liabilities_total,부채총계,재무상태,억원,,
equity_total,자본총계,재무상태,억원,,
employees_regular,정규직 수,인력,명,employees,기간의 정함이 없는 근로자
employees_contract,기간제 수,인력,명,employees,계약직·기간제 근로자
opex_labor_disclosed,연간급여총액(공시),인력,억원,,사업보고서 직원현황의 급여 총액
