"report_id","doc_kind","period","period_type","published_at","title","category","url","filename","sha256","bytes","local_path"
"conference_undated_1","conference","","","2005-03-01","국내주요주주설명회 (2000.3.17)","프리젠테이션","https://corp.kt.com/data/attach/144/20010105145924.pdf","20010105145924.pdf","9c5962df80c72ef8167b856684f9b7b4543124d632d8b65d1bfe024c0e7f639d","2764800","raw/undated/20010105145924.pdf"
"conference_undated_10","conference","","","2005-03-01","국내매각 관련 프레젠테이션(2001.2.2, 증권거래소)","프리젠테이션","https://corp.kt.com/data/attach/144/20010402162935.pdf","20010402162935.pdf","aaa81c371509dc964c294264638894f7a33cc11b2fcd0935d9bf8b257a746ad1","6020626","raw/undated/20010402162935.pdf"
"conference_undated_11","conference","","","2005-03-01","2001년 상반기 기업설명회 (2001.8.22) 프레젠테이션","프리젠테이션","https://corp.kt.com/data/attach/144/20010823115151.pdf","20010823115151.pdf","0b1ea18004197a6b8026c16d8c443f84003e9067e3a5b273809c9f838714a85d","1199317","raw/undated/20010823115151.pdf"
"conference_undated_12","conference","","","2005-03-01","해외주주방문 (2001.11.24~12.8) 프레젠테이션","프리젠테이션","https://corp.kt.com/data/attach/144/20011211113833.pdf","20011211113833.pdf","6ddd26b088f947c85cbb3ed46e0e91bff1bca42a30697f9356062e7128105bc5","2796677","raw/undated/20011211113833.pdf"
"conference_undated_13","conference","","","2005-03-01","해외주주방문(2002.6.12~6.20)프레젠테이션","프리젠테이션","https://corp.kt.com/data/attach/144/20020615084548.pdf","20020615084548.pdf","252f83f5a751f1790bd920c1a1a02ca5b3f612652388815527640e270fa2b330","5455869","raw/undated/20020615084548.pdf"
"conference_undated_14","conference","","","2005-03-01","GS Asia Telco & MS CEO 컨퍼런스(9.5~9.6, 9.9~9.10)","프리젠테이션","https://corp.kt.com/data/attach/144/20020910100847.pdf","20020910100847.pdf","015bb1d59ae241e7cec2941ba2acfbd60f551a8c04220a9e9610ef69dc12c029","3071097","raw/undated/20020910100847.pdf"
"conference_undated_15","conference","","","2005-03-01","UBS Asia Pacific Tele & Tech - Seoul (2002.10.8)","프리젠테이션","https://corp.kt.com/data/attach/144/20021022095133.PDF","20021022095133.PDF","18c5f751acf66943f6fddc54b5cad505eaceefda9b7cb0798152e98946f19bf6","3239677","raw/undated/20021022095133.PDF"
"conference_undated_16","conference","","","2005-03-01","Non-Deal Roadshow - Europe (2002.10.9~10.18)","프리젠테이션","https://corp.kt.com/data/attach/144/20021022095458.PDF","20021022095458.PDF","0f540f98317cc7db671e47e5ac34dd95ee16cdfed0fd135c5fb5476484ad529d","366480","raw/undated/20021022095458.PDF"
"conference_undated_17","conference","","","2005-03-01","Morgan Stanley Asia-Pacific Summit Conference(2002.Oct)","프리젠테이션","https://corp.kt.com/data/attach/144/20021031153610.PDF","20021031153610.PDF","1f53ed5b89175ddab1f09b23e9adfd57b9703e0f0c37b2993961d015b390dffe","4400729","raw/undated/20021031153610.PDF"
"conference_undated_18","conference","","","2005-03-01","KSE conference (2002.Oct)","프리젠테이션","https://corp.kt.com/data/attach/144/20021111144518.PDF","20021111144518.PDF","13da12f1797cb4048df13c6883373c9a0b809554170e490d37dd6d7164b74934","4400736","raw/undated/20021111144518.PDF"
"conference_undated_19","conference","","","2005-03-01","삼성증권 conference (2002.Nov)","프리젠테이션","https://corp.kt.com/data/attach/144/20021120155632.pdf","20021120155632.pdf","fc357c1c1625064f293c9864949d503861be3681c15520a64364c899f7d8813d","561738","raw/undated/20021120155632.pdf"
"conference_undated_20","conference","","","2005-03-01","Lehman Brothers Conference (2002.Nov)","프리젠테이션","https://corp.kt.com/data/attach/144/20021120155737.pdf","20021120155737.pdf","bb45e42fb69f24e2e7885bdaf03f697771e7cd257cecfe564e71596af147fcad","609113","raw/undated/20021120155737.pdf"
"conference_undated_21","conference","","","2005-03-01","2003년 CEO Analyst 브리핑 (2003 Jan)","프리젠테이션","https://corp.kt.com/data/attach/144/20030121135234.pdf","20030121135234.pdf","d3cbac4db628dc7df6e53687793f07e95cc4dee5e9ddd76318494e47049fb345","541463","raw/undated/20030121135234.pdf"
"conference_undated_22","conference","","","2005-03-01","Non-Deal Roadshow - US (2003.2)","프리젠테이션","https://corp.kt.com/data/attach/144/20030210131130.pdf","20030210131130.pdf","477fc52e9dbc010de8294ae74d1c327c0b30a3e83c706b8ec23fc5013ce11cef","4561700","raw/undated/20030210131130.pdf"
"conference_undated_23","conference","","","2005-03-01","삼성증권 conference (2003.5)","프리젠테이션","https://corp.kt.com/data/attach/144/20030521152221.PDF","20030521152221.PDF","8bf764805f8b5180f0e8d6c94b48d6e80f8f61491cd0e1860e28dcf106dedcaa","4102540","raw/undated/20030521152221.PDF"
"conference_undated_24","conference","","","2005-03-01","KSE (2003.6)","프리젠테이션","https://corp.kt.com/data/attach/144/2_24_1.pdf","2_24_1.pdf","e4ddba3c40ba78e79298caa75d0ed2bf54b12f9dee5c66756c1994f33defbe73","4597520","raw/undated/2_24_1.pdf"
"conference_undated_25","conference","","","2005-03-01","KT-NDR (Hong Kong, Europe, US)","프리젠테이션","https://corp.kt.com/data/attach/144/2_25_1.pdf","2_25_1.pdf","951f98a3c34eaeb47843594e770452861aedbcaed2d8061dfdb5be5cf3d1002e","77892","raw/undated/2_25_1.pdf"
"conference_undated_27","conference","","","2005-03-01","UBS Global communications conference (2003년11월)","프리젠테이션","https://corp.kt.com/data/attach/144/2_27_1.pdf","2_27_1.pdf","71e1f8c6505322f5ee3e06ef2227f893d8727201c8335d9bfc0c3f9561265764","1139627","raw/undated/2_27_1.pdf"
"conference_undated_28","conference","","","2005-03-01","해외 주요 주주방문(2004.2)","프리젠테이션","https://corp.kt.com/data/attach/144/2_28_1.pdf","2_28_1.pdf","60fcc77fb822b34112bac8d401549185e7674139cca9a9369af6fe9786b0e1d8","235455","raw/undated/2_28_1.pdf"
"conference_undated_29","conference","","","2005-03-01","UBS Asia Pacific Tech & Telecom Summit 2004","프리젠테이션","https://corp.kt.com/data/attach/144/2_29_1.pdf","2_29_1.pdf","7cd855d53e560548571ec2bf526f5e5b9398fe86a1d930cbf6c4289785df8f17","12872056","raw/undated/2_29_1.pdf"
"conference_undated_3","conference","","","2005-03-01","국내 Analyst Briefing (2000.3.29) 프레젠테이션","프리젠테이션","https://corp.kt.com/data/attach/144/20010118124128.pdf","20010118124128.pdf","bf18c14b121bf7338b34a9bf2308c4e12d16ff75f97b4c8dd012feb7b69d53a8","2770538","raw/undated/20010118124128.pdf"
"conference_undated_30","conference","","","2005-03-01","Samsung Conference","프리젠테이션","https://corp.kt.com/data/attach/144/2_30_1.pdf","2_30_1.pdf","6e5e8fc1e2090de01d02deb55124be5ca6bff3143fd62bccfc5c18544b26236d","6459109","raw/undated/2_30_1.pdf"
"conference_undated_31","conference","","","2005-03-01","전경련 합동 IR, 미국중부소재 주주 방문(2004.6.7~2004.6.17)","프리젠테이션","https://corp.kt.com/data/attach/144/2_31_1.pdf","2_31_1.pdf","5e044bcf22421d341bacc8d5312f604ee4a19841933ad839cce0bb0e6d90a922","6459633","raw/undated/2_31_1.pdf"
"conference_undated_32","conference","","","2005-03-01","호주 주요주주 방문 (2004.7.11~2004.7.13)","프리젠테이션","https://corp.kt.com/data/attach/144/2_32_1.pdf","2_32_1.pdf","9f0fd2ec3d108cd8b660a33d4c24e11d30646fbbe045538f2e031622f84fd9e3","6551295","raw/undated/2_32_1.pdf"
"conference_undated_33","conference","","","2005-03-01","2004년 증권거래소 해외 기업 설명회(2004.9.2~9.9 ; 아시아,유럽,미주)","프리젠테이션","https://corp.kt.com/data/attach/144/2_33_1.pdf","2_33_1.pdf","32ec1413172fe9aa711d09f71aa81c29bd7f040a7e7c9d25631c45b507ed8b29","509830","raw/undated/2_33_1.pdf"
